이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,이용요금_올림,이용요금_내림,이용요금_반올림
김은서,1936-05-21,042-433-4932,89,경기도 화성시 향남읍,39,8,경기도 오산시 세교동,서울특별시 종로구 명륜3가,경기도 연천군,경기도 안성시 공도읍,서울특별시 종로구 내자동,경기도 안성시 서운면,N,Y,3,39358,0.5,19679,39360.0,39350.0,39360
이진우,1954-06-02,061-863-8680,71,경기도 이천시 신둔면,28,7,경기도 안성시 원곡면,경기도 김포시 양촌읍,서울특별시 동대문구 회기동,서울특별시 서대문구 홍제동,경기도 화성시 송산면,경기도 여주시 가남읍,N,N,0,138614,0.2,27723,138620.0,138610.0,138610
김지영,1973-10-01,051-808-3863,52,경기도 평택시 현덕면,24,10,경기도 여주시 북내면,경기도 용인시 처인구 남사읍,경기도 광주시 초월읍,경기도 동두천시 상패동,경기도 화성시 마도면,경기도 시흥시 논곡동,Y,N,0,121030,0.53,64146,121030.0,121030.0,121030
박상철,1956-05-03,016-963-0443,69,경기도 수원시 팔달구 남수동,36,6,경기도 안양시 만안구,경기도 용인시 처인구 백암면,서울특별시 마포구 망원동,경기도 화성시 마도면,경기도 용인시 처인구 이동읍,경기도 평택시 오성면,N,N,0,193720,0.2,38744,193720.0,193720.0,193720
김준혁,1976-07-11,016-896-0343,49,경기도 평택시 청북읍,19,10,경기도 파주시 탄현면,경기도 안성시,경기도 부천시 원미구 약대동,경기도 포천시 일동면,경기도 화성시 양감면,경기도 안성시 원곡면,N,N,0,344282,0.2,68856,344290.0,344280.0,344280
권순옥,2002-07-18,019-480-7427,23,경기도 김포시 사우동,38,8,경기도 여주시 흥천면,서울특별시 마포구,서울특별시 구로구 신도림동,경기도 포천시 군내면,경기도 의정부시 용현동,경기도 김포시 월곶면,N,N,0,6303,0.3,1891,6310.0,6300.0,6300
박예은,1956-10-11,052-016-2647,69,경기도 파주시 월롱면,27,9,경기도 과천시 주암동,경기도 김포시 월곶면,경기도 안성시 동본동,서울특별시 광진구 군자동,경기도 여주시 점동면,경기도 수원시 권선구 금곡동,N,N,0,74852,0.2,14970,74860.0,74850.0,74850
최지민,1970-01-09,016-618-3376,55,경기도 광주시 도척면,38,5,경기도 여주시 연양동,경기도 여주시 가남읍,경기도 평택시 팽성읍,경기도 파주시 문산읍,경기도 양주시 광적면,경기도 양평군 양서면,N,N,0,264255,0.2,52851,264260.0,264250.0,264260
김영자,1968-01-24,041-675-6953,57,경기도 포천시 군내면,26,12,경기도 고양시 덕양구 대자동,서울특별시 중구 회현동3가,경기도 양평군 양서면,경기도 화성시 진안동,경기도 안성시,경기도 남양주시 화도읍,N,N,0,328397,0.2,65679,328400.0,328390.0,328400
윤상호,2004-12-01,062-342-3154,21,경기도 양평군 지평면,33,11,경기도 오산시 누읍동,서울특별시 중랑구,서울특별시 동작구 신대방동,서울특별시 동작구 흑석동,경기도 화성시 마도면,경기도 평택시 현덕면,N,N,0,37713,0.3,11314,37720.0,37710.0,37710
강혜진,1996-05-12,061-763-6161,29,경기도 안산시 상록구,26,9,경기도 용인시 처인구 양지면,경기도 파주시 광탄면,경기도 용인시 기흥구 지곡동,경기도 성남시 분당구 야탑동,경기도 수원시 팔달구 매향동,경기도 부천시,N,Y,3,83200,0.5,41600,83200.0,83200.0,83200
박옥자,1945-01-21,064-756-0981,80,경기도 가평군 청평면,26,13,경기도 고양시 덕양구 강매동,서울특별시 중랑구 중화동,경기도 화성시 마도면,경기도 화성시 향남읍,경기도 연천군 미산면,경기도 파주시 진동면,N,N,0,131742,0.2,26348,131750.0,131740.0,131740
양준혁,2005-09-06,011-388-5662,20,경기도 화성시,27,8,경기도 여주시 북내면,경기도 화성시 팔탄면,경기도 용인시 처인구 이동읍,경기도 양주시 장흥면,경기도 이천시 설성면,경기도 수원시 권선구 서둔동,N,N,0,165007,0.3,49502,165010.0,165000.0,165010
임서연,1953-03-11,010-0075-3294,72,경기도 안성시 미양면,17,7,서울특별시 종로구 삼청동,경기도 평택시 현덕면,경기도 연천군 미산면,경기도 이천시 장호원읍,서울특별시 용산구 용산동4가,경기도 용인시 수지구 풍덕천동,N,N,0,95443,0.2,19089,95450.0,95440.0,95440
박성수,1961-08-04,010-9522-7707,64,경기도 가평군 조종면,24,12,경기도 이천시 장호원읍,경기도 안성시 일죽면,경기도 이천시 신둔면,경기도 파주시 광탄면,경기도 화성시 남양읍,경기도 남양주시 화도읍,N,Y,3,236638,0.5,118319,236640.0,236630.0,236640
이정희,1999-05-04,063-442-1613,26,경기도 의정부시 고산동,34,8,서울특별시 마포구 중동,경기도 여주시 금사면,경기도 화성시 매송면,서울특별시 관악구,경기도 구리시 사노동,경기도 안성시 공도읍,N,N,0,114706,0.3,34412,114710.0,114700.0,114710
이미경,1967-06-01,019-349-0172,58,경기도 양주시 광적면,38,12,경기도 용인시 기흥구 언남동,경기도 파주시 문산읍,경기도 평택시 포승읍,경기도 안성시 보개면,경기도 하남시 덕풍동,경기도 화성시 남양읍,N,N,0,76501,0.2,15300,76510.0,76500.0,76500
김현정,1943-11-03,018-793-0618,82,경기도 오산시 세교동,33,9,경기도 평택시 장당동,경기도 여주시 가남읍,서울특별시 종로구 충신동,서울특별시 구로구 온수동,경기도 광주시 퇴촌면,경기도 화성시 마도면,N,N,0,104825,0.2,20965,104830.0,104820.0,104820
홍현숙,1951-10-30,043-788-9721,74,서울특별시 용산구 이촌동,31,9,경기도 이천시 설성면,경기도 남양주시 진건읍,경기도 안성시 양성면,서울특별시 서대문구 옥천동,경기도 김포시 양촌읍,경기도 김포시 하성면,N,N,0,35193,0.2,7039,35200.0,35190.0,35190
송경숙,1949-08-19,016-689-0145,76,서울특별시 양천구,28,13,경기도 양평군 양서면,경기도 용인시 기흥구 마북동,경기도 파주시 파평면,경기도 평택시 서탄면,경기도 이천시 율면,경기도 김포시 고촌읍,Y,N,0,29610,0.53,15693,29610.0,29610.0,29610
김지우,1974-05-16,051-897-7216,51,경기도 남양주시 진접읍,28,8,경기도 광주시 곤지암읍,경기도 여주시 흥천면,서울특별시 중랑구 중화동,경기도 용인시 처인구 백암면,경기도 화성시 봉담읍,경기도 부천시 오정구 내동,N,N,0,184911,0.2,36982,184920.0,184910.0,184910
한명숙,2002-05-10,061-658-2008,23,경기도 시흥시 목감동,26,12,경기도 광주시 탄벌동,경기도 화성시 황계동,경기도 용인시 처인구 모현읍,경기도 이천시 신둔면,경기도 연천군 전곡읍,경기도 안성시 중리동,N,Y,3,100232,0.5,50116,100240.0,100230.0,100230
최도윤,2000-04-10,052-397-9051,25,경기도 용인시 처인구 백암면,35,13,경기도 가평군 상면,경기도 포천시 관인면,경기도 여주시 북내면,서울특별시 성북구 돈암동,서울특별시 성북구 삼선동5가,경기도 파주시 진동면,Y,Y,3,539246,0.53,285800,539250.0,539240.0,539250
고시우,1971-08-03,031-845-1781,54,경기도 평택시 청북읍,29,12,경기도 안성시 신모산동,서울특별시 중구 충무로3가,경기도 수원시 장안구 연무동,경기도 안산시 상록구,경기도 오산시 갈곶동,경기도 평택시 진위면,N,N,0,78606,0.2,15721,78610.0,78600.0,78610
권정웅,1969-03-04,019-114-8879,56,경기도 평택시 서탄면,34,7,경기도 평택시 안중읍,경기도 광주시 삼동,경기도 평택시 팽성읍,경기도 수원시 권선구 대황교동,경기도 여주시 흥천면,경기도 여주시 가남읍,N,N,0,195159,0.2,39032,195160.0,195150.0,195160
김주원,1939-02-01,053-579-5902,86,경기도 양평군 옥천면,25,7,경기도 고양시 덕양구 덕은동,경기도 용인시 처인구 이동읍,경기도 파주시 문산읍,경기도 양주시 남면,서울특별시 강서구 내발산동,경기도 시흥시 배곧동,N,Y,3,228414,0.5,114207,228420.0,228410.0,228410
강도윤,1977-01-19,042-895-1221,48,경기도 포천시 내촌면,20,9,경기도 화성시 마도면,경기도 김포시 월곶면,경기도 남양주시 진접읍,경기도 화성시 매송면,경기도 파주시 적성면,경기도 용인시 처인구 원삼면,N,N,0,294572,0.2,58914,294580.0,294570.0,294570
오보람,1996-02-06,017-162-1214,29,경기도 김포시 양촌읍,36,8,서울특별시 용산구 한강로2가,경기도 포천시 군내면,경기도 양평군 청운면,서울특별시 영등포구,경기도 포천시 어룡동,서울특별시 용산구 산천동,N,N,0,86360,0.3,25908,86360.0,86360.0,86360
권영환,1991-08-31,011-394-9520,34,경기도 이천시 율면,25,15,경기도 화성시 서신면,경기도 광주시 남종면,경기도 파주시 군내면,경기도 여주시 가남읍,경기도 남양주시 진접읍,경기도 가평군 설악면,N,N,0,125903,0.3,37771,125910.0,125900.0,125900
유춘자,1976-05-08,032-236-3856,49,서울특별시 중구 흥인동,33,10,경기도 평택시 오성면,서울특별시 성동구 금호동4가,서울특별시 서대문구 홍제동,경기도 여주시 점동면,서울특별시 노원구 상계동,서울특별시 강동구,N,N,0,289218,0.2,57844,289220.0,289210.0,289220
이성호,1973-02-14,011-517-8282,52,경기도 연천군 백학면,24,13,경기도 포천시 신읍동,경기도 이천시 신둔면,경기도 포천시 영중면,서울특별시 강서구 외발산동,경기도 안성시 신흥동,경기도 고양시 일산동구 백석동,N,N,0,385232,0.2,77046,385240.0,385230.0,385230
서정수,1988-04-25,011-809-7922,37,경기도 성남시 중원구 성남동,29,10,경기도 화성시 향남읍,경기도 여주시 대신면,경기도 수원시 장안구 송죽동,경기도 연천군 미산면,경기도 화성시 정남면,경기도 고양시 덕양구 내곡동,N,N,0,63580,0.2,12716,63580.0,63580.0,63580
안영일,1995-02-11,051-506-2352,30,경기도 안성시 보개면,32,13,경기도 연천군 전곡읍,경기도 수원시 팔달구 구천동,경기도 김포시 통진읍,서울특별시 영등포구 영등포동5가,경기도 용인시 처인구 모현읍,경기도 이천시 백사면,N,N,0,52582,0.3,15775,52590.0,52580.0,52580
윤서윤,1959-09-18,054-529-5174,66,경기도 의왕시,40,6,서울특별시 강동구 명일동,경기도 여주시 점동면,경기도 화성시 정남면,경기도 수원시 장안구 송죽동,경기도 양평군 지평면,경기도 포천시 화현면,N,Y,2,78829,0.3,23649,78830.0,78820.0,78830
김현준,1990-06-20,051-842-8098,35,경기도 용인시 처인구 원삼면,30,10,서울특별시 종로구 수송동,경기도 화성시 정남면,경기도 화성시 봉담읍,경기도 양평군 용문면,경기도 파주시 산남동,경기도 화성시 팔탄면,N,N,0,169287,0.2,33857,169290.0,169280.0,169290
이민지,1972-07-05,055-102-8948,53,경기도 연천군 왕징면,26,13,경기도 이천시 호법면,서울특별시 성동구 하왕십리동,경기도 파주시 월롱면,경기도 이천시 대월면,서울특별시 용산구 용산동2가,서울특별시 중구 봉래동1가,N,N,0,338870,0.2,67774,338870.0,338870.0,338870
박영진,2004-10-13,063-765-3423,21,경기도 평택시 진위면,37,11,경기도 안성시 양성면,경기도 이천시 장호원읍,경기도 하남시 상산곡동,경기도 양평군 양서면,경기도 화성시 영천동,경기도 여주시 가남읍,N,N,0,195997,0.3,58799,196000.0,195990.0,196000
강미정,1951-08-23,052-795-4007,74,경기도 용인시 기흥구 중동,27,6,경기도 의정부시 금오동,경기도 성남시 분당구 석운동,경기도 화성시 송산면,경기도 양평군 양동면,경기도 여주시 가남읍,서울특별시 중구 저동2가,N,Y,2,42851,0.3,12855,42860.0,42850.0,42850
이은주,2002-03-16,070-1207-4952,23,경기도 이천시 모가면,29,10,서울특별시 서대문구 천연동,경기도 양주시 은현면,경기도 부천시 소사구 송내동,서울특별시 강서구 방화동,경기도 수원시 영통구 신동,경기도 광주시 곤지암읍,N,Y,3,10082,0.5,5041,10090.0,10080.0,10080
김도현,1945-05-01,010-8311-5399,80,경기도 가평군 설악면,32,7,경기도 안성시 공도읍,경기도 시흥시 매화동,경기도 가평군 상면,서울특별시 종로구 인의동,경기도 수원시 영통구 신동,경기도 안성시 보개면,N,N,0,154053,0.2,30811,154060.0,154050.0,154050
이성진,1953-11-12,055-440-5680,72,경기도 양평군 강하면,30,6,서울특별시 송파구 가락동,경기도 안성시 공도읍,서울특별시 종로구 옥인동,경기도 연천군 연천읍,경기도 의정부시 가능동,경기도 성남시 수정구 금토동,N,Y,2,272720,0.3,81816,272720.0,272720.0,272720
황지민,1973-12-12,054-196-7481,52,경기도 포천시 군내면,27,19,서울특별시 중구 남대문로1가,경기도 화성시 우정읍,경기도 파주시 연다산동,경기도 포천시 소흘읍,서울특별시 송파구 마천동,경기도 부천시 소사구 계수동,N,N,0,133488,0.2,26698,133490.0,133480.0,133490
김주원,1955-09-04,018-914-5963,70,경기도 여주시 삼교동,33,15,경기도 안성시 보개면,서울특별시 영등포구 당산동4가,경기도 양주시 고읍동,경기도 안성시 서운면,서울특별시 양천구 신정동,경기도 화성시 팔탄면,N,N,0,86582,0.2,17316,86590.0,86580.0,86580
권영길,1966-08-26,061-491-7566,59,경기도 남양주시 화도읍,33,11,경기도 이천시 장호원읍,경기도 수원시 장안구 정자동,경기도 고양시 일산서구 탄현동,서울특별시 은평구 역촌동,경기도 안양시 만안구 박달동,경기도 화성시 우정읍,N,Y,2,41804,0.3,12541,41810.0,41800.0,41800
권보람,1995-04-13,016-887-2254,30,경기도 화성시 양감면,29,10,서울특별시 영등포구 당산동6가,경기도 여주시 점동면,경기도 하남시,경기도 양주시,경기도 파주시 파평면,경기도 용인시 기흥구 상하동,N,N,0,162074,0.3,48622,162080.0,162070.0,162070
이서준,1990-06-09,061-204-6737,35,경기도 화성시 반정동,36,11,경기도 평택시 청룡동,경기도 연천군 연천읍,경기도 양평군 양평읍,경기도 안성시 금광면,경기도 김포시 대곶면,경기도 수원시 권선구,N,N,0,179347,0.2,35869,179350.0,179340.0,179350
장상훈,1953-10-18,052-715-1854,72,경기도 남양주시 화도읍,38,6,경기도 광주시 남한산성면,경기도 이천시 율면,서울특별시 중구 인현동2가,경기도 안성시 서운면,경기도 파주시 적성면,경기도 용인시 처인구 포곡읍,N,N,0,341108,0.2,68222,341110.0,341100.0,341110
장예준,1961-11-10,033-446-2988,64,경기도 파주시 법원읍,32,13,경기도 남양주시 와부읍,경기도 안성시 금광면,경기도 시흥시 계수동,경기도 평택시 모곡동,경기도 파주시 법원읍,경기도 남양주시 수동면,N,N,0,254957,0.2,50991,254960.0,254950.0,254960
장서현,1975-02-08,032-764-0451,50,경기도 이천시 대월면,22,19,경기도 부천시 소사구 심곡본동,경기도 평택시 가재동,경기도 포천시 군내면,경기도 남양주시 화도읍,경기도 고양시 덕양구 화전동,경기도 양평군 개군면,N,Y,2,137392,0.3,41218,137400.0,137390.0,137390
이건우,2001-06-14,053-687-8377,24,경기도 안양시 동안구 호계동,42,9,서울특별시 영등포구 당산동2가,서울특별시 구로구 오류동,서울특별시 강남구 개포동,경기도 고양시 일산서구 덕이동,경기도 양평군 용문면,경기도 화성시 봉담읍,N,N,0,314516,0.3,94355,314520.0,314510.0,314520
서지현,1945-10-01,063-492-3841,80,경기도 연천군 연천읍,38,7,경기도 연천군 연천읍,경기도 안성시 미양면,경기도 평택시 진위면,경기도 하남시 감북동,경기도 양평군 양동면,경기도 안성시 대덕면,Y,N,0,22819,0.53,12094,22820.0,22810.0,22820
강성호,1978-05-22,053-454-1282,47,경기도 연천군 장남면,24,11,경기도 화성시 정남면,경기도 김포시 하성면,경기도 평택시 진위면,경기도 김포시 월곶면,경기도 파주시 장단면,경기도 파주시 광탄면,N,N,0,51769,0.2,10354,51770.0,51760.0,51770
이지우,1997-08-15,051-560-4636,28,경기도 고양시 일산동구 풍동,27,13,경기도 포천시 군내면,경기도 파주시 당하동,경기도 시흥시 월곶동,경기도 화성시 장안면,경기도 안성시 사곡동,경기도 남양주시 진접읍,N,N,0,265433,0.3,79630,265440.0,265430.0,265430
김진우,2001-03-14,011-043-1582,24,경기도 안성시 죽산면,28,4,경기도 용인시 처인구 원삼면,경기도 포천시 자작동,경기도 화성시 송산면,경기도 양평군 양평읍,경기도 양평군 양동면,경기도 연천군 백학면,N,N,0,103836,0.3,31151,103840.0,103830.0,103840
강유진,1950-03-21,054-964-4840,75,경기도 포천시 가산면,36,5,경기도 시흥시 산현동,서울특별시 종로구 구기동,경기도 의왕시 학의동,서울특별시 마포구 망원동,경기도 파주시 군내면,경기도 김포시 운양동,N,N,0,161746,0.2,32349,161750.0,161740.0,161750
이정수,1980-08-28,016-578-7858,45,경기도 안성시 보개면,20,11,경기도 평택시 포승읍,경기도 화성시 서신면,경기도 광주시 곤지암읍,경기도 연천군 장남면,경기도 김포시 대곶면,경기도 파주시 진서면,N,N,0,377107,0.2,75421,377110.0,377100.0,377110
김상현,1947-10-12,063-021-0852,78,경기도 안성시 금광면,28,11,경기도 평택시 팽성읍,경기도 화성시 우정읍,경기도 포천시 영북면,경기도 화성시 남양읍,경기도 화성시 정남면,경기도 이천시 마장면,N,Y,3,500161,0.5,250080,500170.0,500160.0,500160
이지훈,1989-03-22,044-322-0436,36,경기도 양평군 양서면,31,13,경기도 김포시 대곶면,경기도 남양주시 조안면,경기도 연천군 왕징면,경기도 남양주시 별내면,경기도 안성시 고삼면,서울특별시 마포구 합정동,N,N,0,500315,0.2,100063,500320.0,500310.0,500320
박정호,1985-07-18,061-953-5529,40,경기도 포천시 군내면,30,11,서울특별시 중구 남대문로4가,경기도 포천시 이동면,경기도 평택시 포승읍,서울특별시 성북구 돈암동,경기도 포천시 영북면,경기도 양평군 개군면,Y,Y,3,83200,0.53,44096,83200.0,83200.0,83200
이재호,1994-08-20,070-3238-5839,31,서울특별시 송파구 문정동,25,4,경기도 오산시 은계동,경기도 양평군 양동면,경기도 안산시 단원구 초지동,서울특별시 성북구 안암동5가,경기도 하남시 춘궁동,서울특별시 용산구 신창동,N,Y,3,182912,0.5,91456,182920.0,182910.0,182910
김채원,1952-01-13,033-394-8343,73,경기도 여주시 점동면,33,10,경기도 여주시 산북면,경기도 광주시 태전동,경기도 양평군 강하면,경기도 여주시 대신면,서울특별시 종로구 효제동,경기도 평택시 안중읍,N,N,0,184323,0.2,36865,184330.0,184320.0,184320
엄숙자,1960-04-13,010-8201-2023,65,경기도 광주시 퇴촌면,40,14,경기도 화성시 새솔동,서울특별시 성북구 보문동5가,경기도 양평군 양서면,경기도 평택시 서탄면,경기도 화성시 목동,경기도 안성시 금광면,N,N,0,63899,0.2,12780,63900.0,63890.0,63900
김영미,1984-08-21,018-412-5490,41,서울특별시 중구 인현동1가,22,10,서울특별시 중구 남대문로1가,경기도 화성시 장안면,서울특별시 서대문구 현저동,경기도 파주시 파주읍,경기도 군포시,경기도 양평군 용문면,Y,Y,2,116051,0.53,61507,116060.0,116050.0,116050
이재현,1950-09-13,019-122-5581,75,경기도 고양시 일산동구 설문동,32,16,경기도 파주시 문산읍,경기도 광주시 곤지암읍,경기도 광주시 송정동,경기도 여주시 오학동,경기도 용인시 처인구 이동읍,경기도 연천군 전곡읍,N,Y,3,102324,0.5,51162,102330.0,102320.0,102320
손상철,1967-07-31,070-7773-7008,58,경기도 김포시 북변동,35,10,경기도 양평군 옥천면,경기도 양평군 단월면,경기도 양주시 은현면,경기도 파주시 파주읍,경기도 평택시 통복동,경기도 화성시 향남읍,N,N,0,217756,0.2,43551,217760.0,217750.0,217760
안순옥,1950-10-03,011-178-6441,75,경기도 김포시 통진읍,30,12,서울특별시 마포구 도화동,경기도 평택시 현덕면,경기도 여주시 세종대왕면,경기도 연천군 신서면,경기도 이천시 호법면,서울특별시 강남구 역삼동,N,N,0,172787,0.2,34557,172790.0,172780.0,172790
이성훈,1987-02-08,031-495-8619,38,서울특별시 종로구 필운동,32,15,경기도 여주시 금사면,경기도 수원시 장안구 파장동,서울특별시 중구 남대문로2가,경기도 파주시 문산읍,경기도 양평군 양서면,경기도 안양시 동안구 관양동,N,N,0,452622,0.2,90524,452630.0,452620.0,452620
곽미정,1936-10-13,010-4698-7888,89,경기도 수원시 영통구 이의동,32,12,경기도 파주시 군내면,경기도 용인시 처인구 원삼면,경기도 김포시 통진읍,경기도 포천시 내촌면,경기도 김포시 대곶면,경기도 안성시 원곡면,N,N,0,54506,0.2,10901,54510.0,54500.0,54510
김정순,2001-10-15,055-244-5973,24,경기도 연천군 왕징면,28,7,서울특별시 동대문구 답십리동,경기도 고양시,경기도 용인시 처인구 모현읍,경기도 안성시 미양면,서울특별시 성북구 안암동4가,경기도 평택시 지산동,N,N,0,173929,0.3,52179,173930.0,173920.0,173930
권지영,1956-12-17,042-998-1420,69,경기도 광주시 퇴촌면,25,12,경기도 포천시 영북면,경기도 안성시 미양면,경기도 평택시 팽성읍,경기도 양평군 개군면,서울특별시 중구 수하동,경기도 안성시 신소현동,Y,N,0,228445,0.53,121076,228450.0,228440.0,228440
김상훈,1945-06-06,063-160-6703,80,경기도 파주시 조리읍,39,14,서울특별시 종로구 평창동,경기도 이천시 백사면,경기도 화성시 송산면,서울특별시 중구 회현동2가,경기도 광주시 삼동,경기도 양평군 서종면,N,Y,3,11613,0.5,5806,11620.0,11610.0,11610
이옥자,1953-04-30,052-535-7618,72,서울특별시 종로구 화동,36,16,경기도 양주시 광적면,경기도 안성시 금광면,서울특별시 종로구 적선동,경기도 성남시 중원구 갈현동,경기도 안성시 고삼면,경기도 수원시 팔달구 매교동,N,N,0,191785,0.2,38357,191790.0,191780.0,191780
윤수빈,1953-10-14,063-068-5793,72,서울특별시 중구 인현동1가,24,7,경기도 파주시 연다산동,경기도 광주시 곤지암읍,경기도 용인시 수지구 고기동,서울특별시 성북구 동소문동2가,경기도 안성시 보개면,경기도 이천시 모가면,N,N,0,170983,0.2,34197,170990.0,170980.0,170980
박준서,1936-12-09,019-007-0427,89,경기도 용인시 처인구 백암면,30,9,경기도 양평군 양서면,경기도 파주시 적성면,서울특별시 강동구 명일동,경기도 연천군 백학면,경기도 화성시 방교동,경기도 파주시 광탄면,N,N,0,72926,0.2,14585,72930.0,72920.0,72930
박혜진,1937-12-18,011-743-8758,88,경기도 김포시 통진읍,34,15,서울특별시 종로구 교북동,경기도 광명시 소하동,경기도 양평군 강상면,경기도 평택시 신장동,경기도 양평군 청운면,경기도 가평군 가평읍,N,N,0,795134,0.2,159027,795140.0,795130.0,795130
박은지,1971-09-22,061-095-5660,54,경기도 이천시 모가면,32,10,경기도 김포시 대곶면,경기도 고양시 덕양구 효자동,경기도 오산시 은계동,경기도 여주시 강천면,경기도 안성시 공도읍,경기도 연천군 왕징면,N,N,0,99249,0.2,19850,99250.0,99240.0,99250
이수진,2002-06-20,063-381-2496,23,경기도 이천시 신둔면,35,12,경기도 포천시 자작동,경기도 성남시 분당구 삼평동,경기도 이천시 백사면,서울특별시 강남구 신사동,경기도 여주시 북내면,경기도 용인시 처인구 남사읍,N,N,0,36316,0.3,10895,36320.0,36310.0,36320
김순자,1978-08-31,016-982-1865,47,서울특별시 관악구 신림동,30,8,경기도 고양시 덕양구 고양동,경기도 화성시 정남면,경기도 화성시 봉담읍,경기도 이천시 단월동,경기도 이천시 부발읍,경기도 연천군 연천읍,N,N,0,153117,0.2,30623,153120.0,153110.0,153120
이영길,1973-01-10,016-373-7484,52,경기도 부천시 원미구 약대동,38,7,경기도 포천시 소흘읍,경기도 포천시,경기도 여주시 산북면,경기도 가평군 설악면,경기도 파주시 광탄면,경기도 포천시 신북면,N,N,0,84440,0.2,16888,84440.0,84440.0,84440
박영수,1938-08-27,053-792-5486,87,경기도 포천시 영북면,38,10,경기도 안성시 원곡면,서울특별시 중구 태평로2가,경기도 이천시 설성면,경기도 여주시 오금동,경기도 안성시 보개면,서울특별시 마포구 중동,N,N,0,50111,0.2,10022,50120.0,50110.0,50110
이지후,1970-05-12,053-786-6873,55,경기도 안성시 미양면,38,13,경기도 화성시 우정읍,경기도 화성시 마도면,경기도 남양주시 별내동,경기도 파주시 월롱면,서울특별시 성북구 삼선동1가,경기도 안성시 일죽면,N,N,0,77635,0.2,15527,77640.0,77630.0,77640
한지훈,1958-03-19,044-781-3294,67,경기도 파주시 월롱면,35,7,경기도 군포시 당동,경기도 양평군 강하면,경기도 수원시 권선구 금곡동,경기도 평택시 오성면,경기도 양평군 청운면,서울특별시 영등포구 당산동,N,N,0,251266,0.2,50253,251270.0,251260.0,251270
박수민,1949-03-31,033-683-3993,76,경기도 연천군 왕징면,30,7,경기도 파주시 군내면,경기도 여주시 강천면,서울특별시 서초구 잠원동,경기도 부천시 소사구 범박동,경기도 안성시 도기동,경기도 화성시 팔탄면,Y,N,0,67490,0.53,35770,67490.0,67490.0,67490
허성민,1937-08-25,010-0443-6104,88,경기도 양평군 강상면,33,11,서울특별시 강서구 마곡동,경기도 가평군 청평면,경기도 안성시 옥산동,경기도 화성시 향남읍,경기도 포천시 이동면,경기도 남양주시 이패동,Y,Y,2,162814,0.53,86291,162820.0,162810.0,162810
구은정,1993-08-02,064-729-4325,32,경기도 화성시 장지동,24,15,경기도 안성시 금광면,경기도 화성시 남양읍,경기도 광주시 퇴촌면,경기도 평택시 서탄면,경기도 김포시 월곶면,경기도 용인시 처인구 양지면,N,N,0,82,0.3,25,90.0,80.0,80
김경희,1997-01-15,017-846-6524,28,경기도 포천시 선단동,27,14,경기도 연천군 중면,경기도 오산시 가장동,서울특별시 금천구 시흥동,서울특별시 동대문구 전농동,경기도 파주시 야당동,경기도 여주시 북내면,N,Y,3,22984,0.5,11492,22990.0,22980.0,22980
윤선영,2002-05-29,017-289-8788,23,경기도 가평군 설악면,37,12,경기도 남양주시 화도읍,경기도 광명시 광명동,경기도 안성시 금광면,경기도 화성시 팔탄면,경기도 고양시 덕양구 관산동,경기도 광주시 추자동,N,N,0,259535,0.3,77860,259540.0,259530.0,259540
강민수,1989-03-06,051-321-2654,36,경기도 연천군 왕징면,31,10,경기도 가평군 상면,경기도 가평군 가평읍,경기도 포천시 내촌면,경기도 광주시 곤지암읍,경기도 연천군 신서면,경기도 안성시 금광면,N,N,0,43642,0.2,8728,43650.0,43640.0,43640
양옥순,1979-08-01,062-597-1149,46,경기도 용인시 처인구 남사읍,39,6,경기도 파주시 적성면,경기도 가평군 북면,경기도 김포시 하성면,경기도 용인시 처인구 남사읍,경기도 평택시 서탄면,경기도 고양시 덕양구 덕은동,N,N,0,299092,0.2,59818,299100.0,299090.0,299090
김성민,1955-03-11,064-764-4425,70,경기도 이천시 신둔면,21,15,경기도 용인시 처인구 원삼면,경기도 여주시 삼교동,경기도 용인시 처인구 원삼면,경기도 화성시 남양읍,경기도 용인시 처인구 양지면,경기도 안성시 보개면,N,N,0,61126,0.2,12225,61130.0,61120.0,61130
강주원,1958-09-30,041-014-1916,67,서울특별시 송파구 오금동,33,11,경기도 광명시 소하동,경기도 광주시 장지동,경기도 여주시 세종대왕면,서울특별시 중구 을지로3가,서울특별시 종로구 돈의동,경기도 성남시 중원구 도촌동,N,N,0,44357,0.2,8871,44360.0,44350.0,44360
신경희,1984-07-06,064-753-1210,41,서울특별시 성동구 송정동,30,11,경기도 남양주시 별내동,경기도 가평군 설악면,서울특별시 서대문구 홍은동,경기도 광주시 도척면,서울특별시 성북구 보문동7가,경기도 광주시 남한산성면,Y,N,0,220635,0.53,116937,220640.0,220630.0,220640
윤지원,1966-11-14,018-749-3472,59,경기도 남양주시 이패동,34,12,서울특별시 강남구 청담동,경기도 여주시 가남읍,경기도 연천군 장남면,경기도 포천시 가산면,경기도 안성시 대덕면,경기도 연천군 중면,N,N,0,19670,0.2,3934,19670.0,19670.0,19670
