이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액
박성호,2000-01-28,054-558-0184,25,경기도 포천시 영중면,34,8,경기도 포천시 영북면,경기도 안성시 공도읍,경기도 이천시 호법면,서울특별시 성동구 응봉동,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 포곡읍,Y,N,0,20356,0.53,10789
허영호,1939-07-29,011-044-1267,86,경기도 김포시 대곶면,26,9,경기도 양평군 지평면,경기도 안성시 일죽면,경기도 안성시 계동,경기도 성남시 분당구 금곡동,경기도 평택시 청북읍,서울특별시 종로구 궁정동,N,Y,2,114679,0.3,34404
강준서,1956-09-12,052-754-1782,69,서울특별시 용산구 용산동1가,28,11,경기도 광주시 초월읍,경기도 하남시 선동,경기도 안성시 양성면,경기도 안산시 단원구 화정동,경기도 용인시 처인구 양지면,경기도 여주시 북내면,N,N,0,187257,0.2,37451
홍지연,1946-10-23,033-860-4026,79,서울특별시 성북구 안암동4가,37,7,경기도 양주시 장흥면,경기도 김포시 대곶면,경기도 이천시 마장면,경기도 용인시 처인구 원삼면,경기도 양주시 장흥면,경기도 시흥시 장현동,N,Y,2,64773,0.3,19432
박정호,1993-10-02,052-200-5886,32,경기도 양주시 남면,29,9,경기도 화성시 능동,경기도 성남시 분당구 석운동,서울특별시 중구 장충동1가,경기도 가평군 북면,경기도 용인시 처인구 원삼면,경기도 안산시 상록구,N,N,0,48733,0.3,14620
이정훈,1951-09-27,018-813-1969,74,경기도 파주시 탄현면,26,7,경기도 남양주시 퇴계원읍,경기도 이천시 신둔면,서울특별시 종로구 평동,경기도 고양시 일산동구 사리현동,서울특별시 용산구 갈월동,경기도 광주시 곤지암읍,N,Y,3,25255,0.5,12628
송순자,2000-10-10,053-923-3197,25,경기도 화성시 매송면,41,12,경기도 양평군 단월면,서울특별시 강서구 과해동,경기도 안성시 죽산면,경기도 하남시 창우동,경기도 성남시 중원구 상대원동,서울특별시 도봉구 쌍문동,N,N,0,217085,0.3,65126
오승현,1993-03-26,017-013-0197,32,경기도 의정부시 의정부동,33,13,서울특별시 서초구 반포동,경기도 여주시 가남읍,경기도 포천시 내촌면,경기도 파주시 적성면,경기도 이천시 장록동,경기도 이천시 부발읍,Y,N,0,48969,0.53,25954
김은정,1953-07-14,052-937-6869,72,경기도 안성시 양성면,35,11,경기도 양주시 회암동,경기도 남양주시 지금동,경기도 안성시 금광면,경기도 평택시 장안동,경기도 화성시 황계동,경기도 파주시 광탄면,N,N,0,106962,0.2,21392
김미영,1942-03-20,031-543-2898,83,경기도 과천시 주암동,26,11,경기도 포천시 관인면,경기도 화성시 마도면,경기도 평택시 팽성읍,경기도 용인시 처인구 삼가동,경기도 김포시 대곶면,경기도 의왕시 이동,N,N,0,34963,0.2,6993
이중수,1982-05-09,064-774-2175,43,경기도 여주시 가남읍,33,9,경기도 화성시 서신면,경기도 안성시 미양면,경기도 광주시 곤지암읍,경기도 용인시 기흥구 서천동,경기도 안산시 단원구 와동,서울특별시 성북구 안암동4가,N,N,0,181480,0.2,36296
김승민,1987-10-25,061-800-6480,38,서울특별시 강남구 신사동,32,8,경기도 양평군 서종면,경기도 이천시 신둔면,경기도 평택시 포승읍,경기도 가평군 설악면,경기도 평택시 신장동,경기도 시흥시 방산동,N,N,0,185689,0.2,37138
김재호,1944-11-18,064-709-2523,81,경기도 남양주시 오남읍,27,6,경기도 김포시 통진읍,경기도 안성시 양성면,경기도 가평군 북면,경기도 양평군 양동면,서울특별시 마포구 동교동,경기도 이천시 설성면,Y,N,0,368159,0.53,195124
김순옥,1988-10-17,017-173-3089,37,경기도 안성시 양성면,40,8,서울특별시 용산구 용산동6가,경기도 수원시 팔달구 팔달로2가,경기도 포천시 일동면,경기도 안성시 보개면,경기도 이천시 장록동,경기도 파주시 장단면,N,Y,3,800681,0.5,400340
이순자,1956-02-19,063-913-5353,69,경기도 가평군 설악면,38,10,경기도 남양주시 오남읍,경기도 화성시 비봉면,경기도 안성시 삼죽면,경기도 의정부시 가능동,경기도 평택시 청북읍,서울특별시 양천구 목동,N,N,0,439341,0.2,87868
양영환,1947-07-02,011-105-5511,78,경기도 화성시 팔탄면,33,9,경기도 화성시 마도면,경기도 광주시 곤지암읍,서울특별시 도봉구 창동,경기도 용인시 처인구 원삼면,경기도 수원시 팔달구 매산로3가,경기도 포천시 군내면,N,N,0,328213,0.2,65643
박도윤,1982-04-07,016-895-9545,43,경기도 양평군 양서면,25,12,서울특별시 송파구 문정동,경기도 이천시 모가면,경기도 수원시 팔달구 매산로3가,서울특별시 구로구 오류동,경기도 하남시 미사동,경기도 양주시 남면,N,N,0,407491,0.2,81498
최준영,1977-09-25,042-454-6260,48,경기도 연천군 연천읍,26,10,경기도 파주시 당하동,경기도 용인시 수지구 신봉동,서울특별시 서초구 서초동,경기도 하남시 천현동,서울특별시 송파구 장지동,서울특별시 성북구 동소문동2가,N,N,0,10487,0.2,2097
장성진,1946-12-13,032-812-7141,79,경기도 안산시 단원구 와동,25,10,경기도 의정부시 녹양동,경기도 화성시 팔탄면,경기도 성남시 분당구 궁내동,경기도 안성시 공도읍,경기도 김포시 월곶면,경기도 포천시 영중면,N,N,0,271910,0.2,54382
이재호,1971-03-29,062-956-3161,54,경기도 이천시 모가면,26,9,경기도 파주시 문발동,경기도 화성시 능동,경기도 화성시 금곡동,서울특별시 구로구 오류동,경기도 양주시 장흥면,경기도 군포시 금정동,N,N,0,87507,0.2,17501
안민지,1967-02-01,051-535-6068,58,경기도 광주시 송정동,24,12,경기도 용인시 처인구 모현읍,서울특별시 종로구 옥인동,경기도 평택시 유천동,경기도 용인시 수지구 성복동,경기도 오산시 부산동,경기도 양주시 남면,Y,N,0,39581,0.53,20978
이우진,1989-11-29,017-766-8822,36,경기도 여주시 점봉동,32,13,경기도 화성시 우정읍,경기도 이천시 호법면,경기도 이천시 진리동,경기도 과천시 주암동,경기도 안성시 일죽면,서울특별시 강서구 외발산동,N,N,0,107400,0.2,21480
이수빈,1942-02-01,064-730-8032,83,경기도 이천시 신둔면,32,15,경기도 고양시 덕양구 향동동,경기도 포천시 창수면,경기도 안성시 미양면,서울특별시 성북구 삼선동1가,경기도 고양시 일산서구 구산동,경기도 가평군 가평읍,N,N,0,23234,0.2,4647
김은서,1966-04-25,063-137-2526,59,경기도 시흥시 화정동,36,12,경기도 파주시 동패동,경기도 평택시 팽성읍,경기도 이천시 율현동,경기도 안성시 대덕면,경기도 여주시 흥천면,경기도 의정부시 의정부동,N,N,0,59205,0.2,11841
김정희,1954-02-06,053-222-2007,71,경기도 남양주시 화도읍,32,9,서울특별시 중구 수하동,경기도 오산시 가장동,경기도 화성시 봉담읍,서울특별시 성북구 석관동,경기도 수원시 영통구 영통동,경기도 용인시 처인구 백암면,N,Y,3,100959,0.5,50480
이경희,1976-01-16,064-754-5571,49,경기도 파주시 법원읍,34,13,경기도 가평군 가평읍,서울특별시 구로구 오류동,서울특별시 용산구 서빙고동,경기도 광주시 곤지암읍,경기도 연천군 중면,경기도 평택시 진위면,Y,Y,2,167888,0.53,88981
우은정,1995-02-14,051-408-2398,30,경기도 고양시 덕양구 성사동,29,9,경기도 화성시 향남읍,경기도 안성시,경기도 가평군 청평면,경기도 김포시 월곶면,경기도 양주시 은현면,서울특별시 강남구 신사동,Y,Y,3,516439,0.53,273713
박상현,1952-12-17,044-998-9780,73,경기도 양평군 강상면,37,8,경기도 화성시 팔탄면,서울특별시 성동구 금호동2가,경기도 파주시 금촌동,서울특별시 중구 을지로4가,경기도 안성시 신흥동,경기도 가평군 설악면,N,N,0,14535,0.2,2907
배영호,1960-04-24,053-343-3472,65,경기도 안성시 가현동,32,12,경기도 하남시 하사창동,경기도 가평군 조종면,서울특별시 용산구 산천동,서울특별시 종로구 소격동,경기도 연천군 중면,서울특별시 서대문구 합동,Y,N,0,183968,0.53,97503
김정자,1991-05-10,053-428-3322,34,경기도 광주시 곤지암읍,36,7,경기도 연천군 연천읍,서울특별시 강서구 내발산동,경기도 화성시 장안면,경기도 여주시 강천면,경기도 양주시 회암동,경기도 여주시 대신면,N,Y,3,15125,0.5,7562
최옥자,1987-05-12,044-897-3800,38,경기도 김포시 하성면,33,13,경기도 이천시 장호원읍,경기도 화성시 남양읍,경기도 포천시 자작동,경기도 남양주시 조안면,경기도 안성시 공도읍,경기도 포천시 어룡동,Y,N,0,170624,0.53,90431
최재현,1980-01-19,032-560-8294,45,경기도 이천시 신둔면,26,16,경기도 파주시 탄현면,경기도 수원시 팔달구 매교동,경기도 이천시 호법면,경기도 용인시 기흥구 상하동,경기도 양주시 장흥면,경기도 양평군 단월면,N,N,0,175526,0.2,35105
김지영,1969-04-02,054-846-8951,56,경기도 성남시 분당구 수내동,22,15,서울특별시 강서구 오곡동,서울특별시 용산구 이촌동,경기도 의왕시 초평동,경기도 남양주시 화도읍,경기도 여주시 점동면,경기도 이천시 백사면,N,N,0,93669,0.2,18734
이준서,1960-11-25,019-898-7316,65,경기도 파주시 문발동,32,7,경기도 평택시 안중읍,경기도 안산시 상록구 이동,경기도 안성시 금광면,경기도 김포시 고촌읍,경기도 이천시 백사면,경기도 남양주시 화도읍,N,Y,3,10136,0.5,5068
권도윤,1965-03-02,031-424-1000,60,경기도 포천시 영북면,25,15,경기도 남양주시 수동면,경기도 평택시 진위면,경기도 여주시 가남읍,경기도 양평군 서종면,경기도 부천시 오정구 작동,서울특별시 강남구 대치동,N,N,0,326325,0.2,65265
김성훈,2005-11-15,010-0423-8083,20,서울특별시 종로구 종로5가,39,9,서울특별시 종로구 내자동,경기도 용인시 처인구 남사읍,경기도 화성시 봉담읍,경기도 화성시 목동,경기도 평택시 현덕면,경기도 포천시 소흘읍,N,N,0,77959,0.3,23388
김예준,1974-01-15,019-195-2850,51,서울특별시 중구 인현동1가,28,12,경기도 화성시 금곡동,경기도 화성시 봉담읍,서울특별시 관악구 봉천동,경기도 안성시 대덕면,서울특별시 영등포구 양평동1가,경기도 광주시 중대동,N,N,0,11690,0.2,2338
이예은,1979-05-13,052-925-4765,46,서울특별시 서대문구,36,13,경기도 양평군 양평읍,서울특별시 용산구 한남동,경기도 부천시 소사구,경기도 안성시 죽산면,경기도 평택시 진위면,경기도 포천시 창수면,N,N,0,10329,0.2,2066
황건우,1990-03-10,011-085-1528,35,경기도 양평군 용문면,43,13,경기도 여주시 북내면,경기도 광주시 곤지암읍,서울특별시 종로구 인의동,경기도 가평군 가평읍,경기도 양주시 은현면,경기도 안산시 단원구 대부동동,N,N,0,17374,0.2,3475
엄동현,1993-10-30,042-330-5038,32,경기도 여주시 천송동,30,17,경기도 김포시 월곶면,경기도 시흥시 조남동,경기도 안산시 단원구 대부남동,경기도 양평군 양동면,경기도 양주시 광적면,경기도 안산시 단원구 목내동,N,N,0,380918,0.3,114275
강준영,1975-10-31,019-844-6512,50,경기도 화성시 송산면,24,11,경기도 용인시 수지구 동천동,경기도 화성시 매송면,경기도 안성시 서운면,경기도 가평군 설악면,경기도 양평군 용문면,경기도 남양주시 지금동,Y,N,0,121785,0.53,64546
김경수,1959-09-19,055-005-5704,66,경기도 양평군 용문면,34,10,서울특별시 서대문구 대현동,경기도 파주시 월롱면,경기도 가평군 상면,경기도 양평군 지평면,경기도 파주시 문산읍,서울특별시 종로구 종로4가,N,N,0,391055,0.2,78211
김민재,1946-05-04,010-1936-3686,79,경기도 여주시 가남읍,25,17,경기도 안성시 봉산동,경기도 안산시 단원구 신길동,경기도 양주시 남면,경기도 파주시 적성면,경기도 연천군 중면,경기도 하남시 하사창동,N,Y,2,262024,0.3,78607
윤서연,1992-03-22,019-903-0933,33,경기도 포천시 이동면,24,11,서울특별시 영등포구 영등포동2가,경기도 안성시 신건지동,경기도 가평군 청평면,경기도 평택시 안중읍,경기도 양주시 옥정동,경기도 수원시 권선구 입북동,N,N,0,2685,0.3,806
하성수,1996-04-12,061-762-5923,29,서울특별시 강남구 자곡동,29,6,경기도 이천시 마장면,경기도 이천시 백사면,경기도 화성시 송산면,경기도 평택시 고덕면,경기도 이천시 부발읍,경기도 광주시 도척면,N,N,0,68947,0.3,20684
김재현,1960-11-09,063-037-3804,65,경기도 화성시 마도면,31,5,경기도 연천군 연천읍,경기도 하남시 창우동,경기도 오산시 두곡동,경기도 이천시 백사면,경기도 성남시 중원구 성남동,경기도 화성시 서신면,N,N,0,140127,0.2,28025
이영숙,1981-01-24,055-828-6633,44,경기도 용인시 처인구 포곡읍,24,15,경기도 양주시 어둔동,서울특별시 성북구 보문동2가,서울특별시 종로구 옥인동,경기도 여주시 흥천면,경기도 파주시 오도동,경기도 양평군 지평면,N,N,0,5741,0.2,1148
김상훈,1963-12-17,019-315-0006,62,경기도 평택시 가재동,39,7,경기도 부천시 오정구 내동,서울특별시 강남구,경기도 연천군 연천읍,경기도 평택시 진위면,경기도 이천시 중리동,경기도 파주시 문산읍,Y,N,0,602647,0.53,319403
문명숙,1976-01-22,017-260-9093,49,서울특별시 성북구 안암동3가,32,8,경기도 파주시 탄현면,서울특별시 중구 필동1가,서울특별시 중랑구 면목동,경기도 포천시 영중면,경기도 화성시 우정읍,경기도 화성시 팔탄면,N,N,0,455430,0.2,91086
박예은,1936-12-29,018-983-8280,89,경기도 성남시 중원구 갈현동,26,9,경기도 여주시 강천면,경기도 연천군 백학면,경기도 포천시 신북면,경기도 화성시 팔탄면,경기도 용인시 처인구 백암면,경기도 포천시 창수면,N,N,0,51024,0.2,10205
이시우,1993-05-21,011-363-1544,32,경기도 광주시 곤지암읍,23,16,경기도 김포시 월곶면,경기도 화성시 송산면,경기도 화성시 중동,경기도 양평군 개군면,서울특별시 종로구 이화동,경기도 포천시 창수면,N,N,0,86390,0.3,25917
이상철,1996-08-17,011-589-0470,29,경기도 광주시 회덕동,19,12,경기도 파주시 장단면,경기도 화성시 비봉면,경기도 남양주시 진건읍,경기도 여주시 점동면,경기도 여주시 금사면,서울특별시 서대문구 홍제동,N,N,0,246076,0.3,73823
이동현,2001-08-02,016-838-5776,24,경기도 부천시 오정구 고강동,26,11,경기도 평택시 청북읍,경기도 연천군 장남면,경기도 이천시 백사면,서울특별시 종로구 이화동,경기도 파주시 탄현면,경기도 평택시 청북읍,N,N,0,3291,0.3,987
이주원,2004-05-16,053-292-4301,21,경기도 연천군 중면,24,9,경기도 용인시 처인구 포곡읍,경기도 파주시 파주읍,경기도 여주시 하동,경기도 연천군 백학면,서울특별시 중구 묵정동,경기도 시흥시 매화동,N,N,0,48318,0.3,14495
이영숙,1950-09-29,031-476-6171,75,서울특별시 마포구 동교동,32,6,경기도 포천시 영중면,경기도 포천시 창수면,경기도 안성시 서운면,경기도 평택시 팽성읍,경기도 양평군 양평읍,경기도 광주시 남한산성면,N,N,0,136400,0.2,27280
신순옥,1993-02-09,061-265-9685,32,경기도 김포시 장기동,33,6,서울특별시 관악구 봉천동,경기도 부천시 오정구,경기도 이천시 대월면,경기도 연천군 왕징면,서울특별시 영등포구 양평동6가,경기도 여주시 흥천면,N,N,0,85525,0.3,25658
이진호,1978-07-28,042-942-9782,47,경기도 여주시 대신면,21,9,서울특별시 영등포구 당산동4가,경기도 광주시 탄벌동,경기도 화성시 송산면,경기도 양주시 장흥면,경기도 파주시 월롱면,서울특별시 종로구 필운동,Y,N,0,22190,0.53,11761
유미경,1970-01-14,054-807-6612,55,경기도 화성시 비봉면,29,16,경기도 화성시 향남읍,경기도 여주시 오금동,서울특별시 관악구 봉천동,경기도 광주시 경안동,경기도 용인시 처인구 모현읍,서울특별시 은평구 갈현동,Y,Y,3,153515,0.53,81363
최정남,2005-03-25,052-211-6918,20,경기도 이천시 모가면,31,10,서울특별시 광진구 중곡동,경기도 화성시 향남읍,경기도 성남시 수정구 상적동,경기도 양주시 은현면,경기도 평택시 팽성읍,경기도 이천시 백사면,N,Y,2,327659,0.3,98298
김숙자,1974-06-01,016-115-0736,51,경기도 안성시 당왕동,30,8,경기도 광주시 신현동,경기도 김포시 양촌읍,경기도 평택시,경기도 김포시 하성면,경기도 오산시 내삼미동,경기도 용인시 처인구 모현읍,N,N,0,49856,0.2,9971
백서현,2003-03-14,042-417-7260,22,경기도 수원시 팔달구 고등동,36,11,경기도 안성시 일죽면,경기도 안산시,경기도 여주시 대신면,경기도 연천군 중면,경기도 화성시 향남읍,경기도 여주시 대신면,N,N,0,47756,0.3,14327
이현준,2000-09-05,055-833-1885,25,경기도 하남시 교산동,29,15,경기도 고양시 일산서구 주엽동,서울특별시 송파구 신천동,경기도 광주시 목현동,경기도 고양시 덕양구 오금동,서울특별시 서초구 반포동,경기도 의왕시 삼동,N,N,0,13910,0.3,4173
이은주,1938-09-17,044-973-5830,87,경기도 오산시 내삼미동,41,10,경기도 안성시 중리동,경기도 안성시 보개면,경기도 가평군 청평면,경기도 연천군 백학면,서울특별시 성동구 상왕십리동,서울특별시 관악구 봉천동,Y,N,0,153254,0.53,81225
김서영,2006-06-10,062-536-5697,19,경기도 용인시 수지구 상현동,27,9,경기도 여주시 가남읍,경기도 가평군 가평읍,경기도 김포시 대곶면,경기도 평택시 오성면,경기도 화성시 양감면,경기도 평택시 고덕면,N,N,0,98366,0.3,29510
김민서,1970-11-20,042-650-7865,55,경기도 안산시 상록구 월피동,33,13,경기도 여주시 가남읍,경기도 시흥시 논곡동,경기도 안성시 원곡면,경기도 이천시 신둔면,경기도 성남시 중원구,경기도 파주시 장단면,N,Y,2,189578,0.3,56873
박윤서,1944-01-07,061-620-3416,81,경기도 화성시 향남읍,26,11,경기도 화성시 남양읍,서울특별시 종로구 체부동,경기도 성남시 분당구 구미동,경기도 연천군 백학면,경기도 화성시 정남면,서울특별시 종로구 창신동,N,N,0,6701,0.2,1340
이지혜,2007-02-09,010-1059-6697,18,서울특별시 용산구 용산동4가,29,10,경기도 양평군 용문면,서울특별시 은평구,경기도 안성시 보개면,경기도 김포시 양촌읍,서울특별시 영등포구 당산동,경기도 양평군 강하면,N,Y,2,193795,0.3,58138
김승현,1987-12-08,016-195-3991,38,경기도 화성시 향남읍,25,10,경기도 남양주시 진건읍,경기도 이천시 장록동,경기도 남양주시 도농동,경기도 안산시 단원구,경기도 여주시 대신면,경기도 화성시 정남면,N,N,0,509264,0.2,101853
서미정,1971-02-11,019-353-3668,54,서울특별시 종로구 관훈동,30,8,경기도 여주시 흥천면,경기도 여주시 북내면,경기도 여주시 멱곡동,서울특별시 은평구 증산동,경기도 오산시 부산동,경기도 평택시 팽성읍,N,N,0,327158,0.2,65432
정유진,1987-03-24,064-776-0863,38,경기도 김포시 월곶면,28,20,경기도 이천시 신둔면,경기도 양주시 남면,경기도 과천시 중앙동,서울특별시 강서구 오쇠동,경기도 안성시 서운면,서울특별시 성북구 정릉동,N,Y,2,80335,0.3,24100
장서윤,1987-08-29,043-553-1471,38,경기도 포천시 신북면,28,10,경기도 양평군 용문면,경기도 광주시 초월읍,경기도 여주시 흥천면,경기도 남양주시 평내동,경기도 여주시 산북면,경기도 수원시 팔달구 교동,N,N,0,22220,0.2,4444
류현준,1949-05-14,032-015-4705,76,경기도 화성시 매송면,34,8,경기도 광주시 남종면,경기도 연천군 장남면,경기도 여주시 금사면,경기도 안산시 상록구 수암동,경기도 포천시 창수면,경기도 화성시 봉담읍,N,N,0,146636,0.2,29327
김준서,1988-07-11,016-122-5290,37,경기도 파주시 광탄면,34,9,경기도 양평군 양동면,경기도 안성시 죽산면,경기도 양평군 용문면,경기도 안성시 대덕면,경기도 김포시 통진읍,경기도 군포시 대야미동,N,N,0,63305,0.2,12661
배동현,1990-03-20,070-0976-5388,35,서울특별시 종로구 종로4가,24,10,경기도 연천군 백학면,경기도 안성시 삼죽면,경기도 연천군 군남면,서울특별시 서대문구 대신동,경기도 파주시 탄현면,경기도 안성시 양성면,N,Y,3,2055,0.5,1028
이명자,1972-11-24,043-800-9527,53,경기도 양평군 서종면,23,15,경기도 구리시 아천동,경기도 평택시 현덕면,경기도 시흥시 포동,경기도 파주시 법원읍,경기도 화성시 송산면,경기도 여주시 세종대왕면,N,N,0,99638,0.2,19928
이명자,1983-01-11,031-412-6934,42,경기도 고양시 덕양구 내곡동,34,8,경기도 양주시 백석읍,경기도 이천시 창전동,경기도 이천시 호법면,경기도 포천시 소흘읍,경기도 오산시 누읍동,서울특별시 강남구 수서동,Y,N,0,147255,0.53,78045
이병철,1949-01-14,052-845-3303,76,경기도 안성시 인지동,41,4,경기도 화성시 장안면,경기도 수원시 팔달구 인계동,경기도 안양시,경기도 동두천시 송내동,경기도 여주시 점동면,경기도 남양주시 화도읍,N,N,0,283300,0.2,56660
김상현,1952-03-05,062-987-7049,73,경기도 이천시 장록동,21,5,경기도 이천시 모가면,경기도 여주시 북내면,서울특별시 종로구 가회동,서울특별시 마포구 신수동,경기도 이천시 신둔면,경기도 김포시 풍무동,Y,N,0,739376,0.53,391869
김상현,1941-07-08,044-673-2885,84,경기도 부천시 오정구 내동,24,13,경기도 화성시 양감면,서울특별시 종로구 계동,경기도 안성시 죽산면,서울특별시 성북구 보문동5가,경기도 화성시 향남읍,서울특별시 서초구 우면동,N,Y,3,382063,0.5,191032
박정자,1991-12-24,042-565-0095,34,경기도 이천시 설성면,30,16,경기도 안성시 아양동,경기도 화성시 향남읍,서울특별시 동대문구,경기도 연천군 군남면,경기도 평택시 오성면,경기도 여주시 홍문동,N,N,0,147902,0.3,44371
우중수,2005-11-18,019-289-9882,20,경기도 평택시 고덕면,29,13,경기도 양주시 남면,경기도 고양시 덕양구 주교동,경기도 파주시 문산읍,서울특별시 용산구 용산동6가,경기도 포천시 군내면,서울특별시 서초구,N,Y,3,311710,0.5,155855
조정훈,1938-05-24,033-530-9729,87,서울특별시 금천구 시흥동,31,10,경기도 안성시 보개면,경기도 파주시 광탄면,경기도 이천시 모가면,경기도 용인시 처인구 이동읍,서울특별시 종로구 평창동,서울특별시 용산구 후암동,N,N,0,335173,0.2,67035
김영수,1965-05-31,053-257-5437,60,경기도 파주시 월롱면,27,15,경기도 안성시 미양면,경기도 안양시 만안구 안양동,경기도 평택시 팽성읍,서울특별시 중구 남산동1가,경기도 광주시 남한산성면,경기도 이천시 모가면,Y,N,0,645304,0.53,342011
곽은주,1976-04-02,070-5771-0126,49,서울특별시 용산구 청파동3가,30,7,경기도 안성시 대덕면,서울특별시 용산구 효창동,경기도 시흥시 하중동,서울특별시 중구 수표동,서울특별시 은평구 수색동,경기도 여주시 점동면,Y,N,0,53793,0.53,28510
이성호,1941-12-19,042-413-1262,84,경기도 오산시 탑동,39,10,경기도 파주시 파주읍,경기도 이천시 장호원읍,서울특별시 중구 봉래동2가,경기도 김포시 사우동,경기도 여주시 가남읍,서울특별시 송파구 가락동,N,Y,2,55026,0.3,16508
성명숙,1991-10-08,043-147-8724,34,서울특별시 영등포구 문래동4가,36,13,경기도 의왕시 내손동,경기도 여주시 가남읍,경기도 연천군 중면,경기도 안성시 죽산면,경기도 평택시 포승읍,서울특별시 마포구 합정동,N,N,0,46771,0.3,14031
심숙자,1938-08-13,033-219-5000,87,경기도 안성시 죽산면,25,11,경기도 의정부시 용현동,경기도 화성시 우정읍,경기도 의왕시 초평동,경기도 여주시 금사면,경기도 남양주시 오남읍,서울특별시 성북구 동소문동2가,N,N,0,438972,0.2,87794
남재현,1958-10-21,018-337-6856,67,경기도 여주시 능현동,24,9,경기도 오산시 서랑동,경기도 용인시 수지구 신봉동,경기도 파주시 금촌동,경기도 군포시 도마교동,서울특별시 종로구 효제동,서울특별시 종로구 충신동,N,N,0,218517,0.2,43703
주명자,1978-07-05,031-283-0011,47,경기도 연천군 청산면,23,8,경기도 광주시 남한산성면,경기도 용인시 처인구 백암면,경기도 평택시 팽성읍,경기도 파주시 광탄면,경기도 평택시 안중읍,경기도 광명시 소하동,N,N,0,28576,0.2,5715
김진호,1976-03-28,062-755-6076,49,경기도 남양주시 조안면,28,12,경기도 이천시 대월면,경기도 여주시 점동면,경기도 화성시 양감면,서울특별시 서초구 우면동,경기도 용인시 처인구 삼가동,경기도 시흥시 광석동,N,Y,3,616940,0.5,308470
김옥자,1958-02-08,033-782-7904,67,경기도 여주시 북내면,23,11,경기도 파주시 적성면,서울특별시 영등포구 양평동,경기도 시흥시 하상동,서울특별시 종로구 연지동,경기도 화성시 향남읍,경기도 양주시 장흥면,N,N,0,176378,0.2,35276
김윤서,1958-05-29,044-452-5663,67,경기도 김포시 사우동,20,8,경기도 성남시 분당구 분당동,경기도 안성시 일죽면,경기도 파주시 적성면,경기도 양주시 회정동,경기도 연천군 신서면,경기도 평택시 용이동,Y,N,0,400,0.53,212
한우진,1950-01-08,031-337-6034,75,경기도 구리시 교문동,32,9,경기도 양평군 서종면,서울특별시 성북구 보문동4가,경기도 양평군 강상면,경기도 용인시 처인구 원삼면,경기도 가평군 설악면,경기도 가평군 조종면,N,Y,3,108827,0.5,54414
김지민,1957-07-05,033-498-8735,68,경기도 양주시 광적면,26,3,경기도 파주시 적성면,경기도 안성시 보개면,경기도 남양주시 진접읍,서울특별시 성북구 동선동2가,경기도 파주시 파주읍,서울특별시 중구 오장동,N,N,0,281059,0.2,56212
김성수,1951-04-10,042-701-8233,74,서울특별시 영등포구 당산동,32,5,서울특별시 성동구 성수동2가,서울특별시 영등포구 영등포동7가,서울특별시 중구 충무로2가,경기도 화성시 팔탄면,서울특별시 중구 을지로1가,경기도 고양시 일산동구 장항동,N,N,0,70453,0.2,14091
김현주,1957-05-12,016-618-5791,68,경기도 김포시 월곶면,27,11,경기도 가평군 설악면,경기도 남양주시 진건읍,경기도 안성시 미양면,경기도 연천군 연천읍,경기도 평택시 진위면,경기도 이천시 율면,N,N,0,210902,0.2,42180
박예지,2003-11-27,011-680-1075,22,서울특별시 중구 을지로3가,35,7,경기도 시흥시 능곡동,경기도 평택시 고덕면,경기도 여주시 산북면,경기도 여주시 월송동,경기도 여주시 상동,경기도 군포시 당정동,N,N,0,240095,0.3,72028
오은서,1956-12-02,052-085-0159,69,경기도 김포시 대곶면,33,8,경기도 안성시 삼죽면,경기도 여주시 북내면,경기도 김포시 대곶면,경기도 고양시 덕양구 신평동,경기도 평택시 합정동,경기도 포천시 영북면,N,N,0,334473,0.2,66895
양은지,2001-07-24,016-947-4391,24,경기도 용인시 처인구 포곡읍,38,15,경기도 연천군 왕징면,경기도 고양시 일산서구 구산동,경기도 연천군 신서면,서울특별시 종로구 종로1가,경기도 하남시 감일동,경기도 고양시 일산동구 산황동,Y,Y,3,164730,0.53,87307
주현주,1998-12-01,017-910-7011,27,경기도 포천시 영북면,40,13,서울특별시 영등포구 당산동6가,경기도 이천시 설성면,경기도 광주시 신현동,경기도 화성시 향남읍,경기도 성남시 분당구 율동,경기도 이천시 장호원읍,Y,N,0,40326,0.53,21373
이예준,1944-10-06,032-972-4255,81,경기도 여주시 북내면,24,9,경기도 광명시 옥길동,서울특별시 용산구 청암동,경기도 연천군 미산면,경기도 동두천시 상봉암동,경기도 평택시 안중읍,경기도 이천시 부발읍,N,Y,3,350216,0.5,175108
한예지,1984-10-10,062-372-9402,41,경기도 하남시 감이동,25,9,경기도 여주시 가남읍,서울특별시 중구 필동3가,경기도 용인시 처인구 운학동,경기도 파주시 법원읍,경기도 양주시 삼숭동,경기도 부천시 소사구 심곡본동,N,Y,3,38401,0.5,19200
오서영,1974-07-12,042-052-7473,51,경기도 수원시 권선구 당수동,29,11,경기도 화성시 반송동,경기도 화성시 마도면,서울특별시 서대문구 홍은동,경기도 양평군 지평면,경기도 화성시 배양동,경기도 양평군 양서면,N,N,0,116345,0.2,23269
