이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,휴대폰번호_마스킹
이중수,1954-09-09,02-1886-3673,71,경기도 안성시 인지동,29,10,경기도 가평군 설악면,경기도 여주시 세종대왕면,서울특별시 강남구 압구정동,서울특별시 마포구 연남동,경기도 양평군 청운면,경기도 가평군 북면,N,N,0,297984,0.2,59597,02-1***-3673
이수진,1967-10-30,063-310-3829,58,경기도 의왕시 삼동,35,12,경기도 수원시 장안구 연무동,경기도 여주시 대신면,경기도 연천군 군남면,경기도 동두천시 걸산동,경기도 수원시 팔달구,경기도 양평군 용문면,Y,N,0,395416,0.53,209570,063-***-3829
김예은,1973-08-04,044-027-1845,52,서울특별시 종로구 세종로,34,5,경기도 화성시 팔탄면,경기도 김포시 사우동,경기도 용인시 처인구 이동읍,경기도 파주시 문산읍,경기도 가평군 설악면,서울특별시 노원구 하계동,N,Y,3,322141,0.5,161070,044-***-1845
배지은,1954-08-12,044-380-1805,71,경기도 군포시 당동,35,11,경기도 광주시 곤지암읍,서울특별시 마포구 상수동,경기도 평택시 이충동,경기도 연천군 미산면,경기도 양주시 백석읍,경기도 여주시 흥천면,N,N,0,17498,0.2,3500,044-***-1805
홍시우,1973-09-25,055-621-2219,52,경기도 가평군 가평읍,36,6,경기도 용인시 처인구 양지면,경기도 김포시 하성면,경기도 광주시 곤지암읍,서울특별시 용산구 원효로2가,경기도 평택시 청북읍,경기도 화성시 남양읍,Y,N,0,143092,0.53,75839,055-***-2219
엄옥자,1957-05-30,055-729-3034,68,경기도 안성시 일죽면,34,16,경기도 평택시 현덕면,경기도 안성시 미양면,경기도 가평군 설악면,경기도 수원시 권선구 구운동,경기도 화성시 향남읍,경기도 남양주시 호평동,N,Y,2,34878,0.3,10463,055-***-3034
김예원,1971-08-19,063-644-3298,54,경기도 가평군 상면,24,8,경기도 여주시 가남읍,경기도 광주시 곤지암읍,서울특별시 구로구 가리봉동,경기도 안성시 고삼면,경기도 시흥시 안현동,경기도 안성시 일죽면,N,N,0,20897,0.2,4179,063-***-3298
장민재,1982-11-12,041-348-3189,43,경기도 양평군 용문면,35,10,경기도 여주시 대신면,서울특별시 중구 장충동1가,경기도 광주시 도척면,서울특별시 영등포구 영등포동8가,경기도 김포시 대곶면,경기도 화성시 새솔동,N,N,0,701,0.2,140,041-***-3189
백경숙,1937-04-28,070-1510-8109,88,경기도 화성시 우정읍,33,7,경기도 안성시 대덕면,경기도 고양시 덕양구 지축동,서울특별시 은평구 불광동,경기도 양평군 강하면,서울특별시 성동구 성수동2가,서울특별시 강남구 일원동,N,N,0,5889,0.2,1178,070-****-8109
김준호,1946-12-27,064-794-1952,79,경기도 양주시 마전동,39,12,경기도 과천시 부림동,경기도 오산시 청호동,서울특별시 마포구 아현동,경기도 과천시 과천동,경기도 고양시 일산동구 사리현동,경기도 여주시 강천면,N,N,0,82338,0.2,16468,064-***-1952
양성진,1988-07-11,017-900-8741,37,경기도 양평군 지평면,35,5,서울특별시 중구 예관동,경기도 안성시 영동,경기도 고양시 덕양구 신평동,경기도 파주시 서패동,경기도 파주시 탄현면,경기도 의왕시 이동,N,N,0,3495,0.2,699,017-***-8741
김선영,1939-06-25,053-608-8478,86,서울특별시 종로구 인의동,25,8,경기도 남양주시 진접읍,서울특별시 성북구 삼선동1가,서울특별시 중구 북창동,서울특별시 서대문구 홍은동,경기도 용인시 처인구 포곡읍,경기도 평택시 팽성읍,Y,Y,2,106064,0.53,56214,053-***-8478
최지우,1973-02-19,010-9559-6875,52,경기도 양평군 지평면,31,8,경기도 평택시 진위면,경기도 이천시 율면,경기도 평택시 진위면,경기도 연천군 장남면,서울특별시 용산구 후암동,경기도 포천시 영북면,N,N,0,26975,0.2,5395,010-****-6875
차옥순,1998-05-29,033-839-5069,27,경기도 여주시 가남읍,22,12,경기도 여주시 북내면,경기도 여주시 교동,경기도 양평군 용문면,경기도 양평군 서종면,경기도 여주시 강천면,경기도 연천군 연천읍,N,N,0,329773,0.3,98932,033-***-5069
김광수,1987-06-13,019-394-9921,38,서울특별시 용산구 갈월동,34,11,경기도 안성시 보개면,경기도 성남시 수정구 창곡동,경기도 시흥시 매화동,경기도 평택시 동삭동,경기도 양평군 지평면,경기도 여주시 가남읍,N,N,0,91293,0.2,18259,019-***-9921
이민서,1958-10-15,041-273-6792,67,경기도 양주시 광사동,19,5,경기도 용인시 수지구 신봉동,서울특별시 종로구 명륜4가,경기도 평택시 서탄면,경기도 평택시 오성면,서울특별시 서초구 원지동,경기도 파주시 파평면,N,N,0,193526,0.2,38705,041-***-6792
김주원,1986-11-27,070-8846-6013,39,경기도 안성시 양성면,32,6,서울특별시 강서구 가양동,경기도 이천시 신둔면,경기도 의왕시 오전동,경기도 포천시 일동면,경기도 연천군 왕징면,경기도 파주시 군내면,Y,N,0,121327,0.53,64303,070-****-6013
이영식,1954-08-21,042-937-0585,71,경기도 화성시 봉담읍,30,7,서울특별시 중구 소공동,서울특별시 송파구,서울특별시 서초구,서울특별시 성북구,경기도 고양시 덕양구 관산동,경기도 이천시 장호원읍,N,N,0,115976,0.2,23195,042-***-0585
윤서윤,1939-04-17,054-450-6357,86,경기도 양평군 서종면,27,7,서울특별시 중구 충무로5가,경기도 연천군 신서면,경기도 고양시 일산서구 덕이동,경기도 파주시 조리읍,서울특별시 용산구 이촌동,경기도 안성시 서운면,Y,N,0,121794,0.53,64551,054-***-6357
이준서,1970-10-29,042-036-5777,55,경기도 오산시 은계동,27,8,서울특별시 성동구 금호동3가,경기도 과천시 별양동,경기도 화성시 오산동,경기도 포천시 내촌면,경기도 양평군 단월면,경기도 연천군 연천읍,N,N,0,62120,0.2,12424,042-***-5777
박영자,1968-05-14,043-985-5337,57,경기도 이천시 단월동,17,9,경기도 평택시 현덕면,경기도 용인시 처인구 포곡읍,경기도 연천군 연천읍,경기도 파주시 파주읍,경기도 김포시 사우동,서울특별시 강남구 세곡동,N,N,0,25041,0.2,5008,043-***-5337
이정숙,2003-03-05,043-290-3463,22,경기도 군포시,28,14,경기도 포천시 영북면,경기도 광주시 쌍령동,경기도 용인시 처인구 원삼면,서울특별시 영등포구 영등포동1가,서울특별시 서대문구 홍은동,경기도 이천시 마장면,N,N,0,408949,0.3,122685,043-***-3463
김성진,1951-08-05,061-602-5229,74,경기도 성남시 수정구 신흥동,36,6,경기도 화성시 목동,경기도 남양주시 진접읍,경기도 평택시 서탄면,경기도 하남시 춘궁동,경기도 안성시 양성면,경기도 용인시 처인구 남사읍,N,N,0,266087,0.2,53217,061-***-5229
김정숙,1945-02-21,055-736-6624,80,경기도 성남시 중원구 은행동,30,10,경기도 연천군 중면,경기도 이천시 마장면,서울특별시 중구 만리동2가,경기도 안성시 양성면,경기도 성남시 분당구 분당동,서울특별시 서초구 신원동,N,Y,3,54756,0.5,27378,055-***-6624
이춘자,1953-03-29,031-758-1923,72,경기도 이천시 설성면,32,9,서울특별시 도봉구 창동,경기도 수원시 장안구 정자동,경기도 여주시 가남읍,경기도 광명시 철산동,경기도 여주시 금사면,경기도 파주시 와동동,Y,N,0,3188,0.53,1690,031-***-1923
김영순,1996-04-07,064-752-1109,29,경기도 연천군 백학면,33,10,서울특별시 용산구 한남동,경기도 포천시 내촌면,경기도 안성시 공도읍,경기도 파주시 파주읍,경기도 평택시 현덕면,경기도 연천군 연천읍,N,N,0,142699,0.3,42810,064-***-1109
남지연,1980-10-29,019-603-6978,45,서울특별시 은평구 불광동,33,13,경기도 평택시 팽성읍,경기도 안성시 서운면,경기도 양평군 강하면,경기도 평택시 팽성읍,경기도 평택시 팽성읍,경기도 가평군 상면,Y,N,0,17801,0.53,9435,019-***-6978
최은영,1999-03-25,02-1857-4838,26,경기도 화성시 반정동,29,11,경기도 안성시 죽산면,경기도 화성시 마도면,서울특별시 마포구 상암동,경기도 여주시 흥천면,경기도 평택시 팽성읍,경기도 파주시 광탄면,N,N,0,235464,0.3,70639,02-1***-4838
김성민,1943-01-19,061-755-5306,82,경기도 연천군 왕징면,34,7,서울특별시 종로구 종로2가,경기도 이천시 마장면,경기도 이천시 호법면,경기도 김포시 통진읍,경기도 파주시 검산동,경기도 남양주시 조안면,N,N,0,69354,0.2,13871,061-***-5306
김현우,1996-07-06,053-830-7826,29,서울특별시 성북구,28,7,서울특별시 성북구 삼선동1가,서울특별시 종로구 안국동,경기도 평택시 팽성읍,경기도 가평군 북면,경기도 성남시 분당구 수내동,경기도 연천군 미산면,N,N,0,168105,0.3,50432,053-***-7826
이지혜,2000-04-29,064-766-1141,25,경기도 포천시 신북면,27,17,경기도 이천시 진리동,경기도 수원시 팔달구,경기도 파주시 다율동,경기도 과천시 별양동,경기도 평택시 팽성읍,경기도 포천시 화현면,N,N,0,109837,0.3,32951,064-***-1141
최정식,1978-12-13,02-3945-7956,47,경기도 화성시 장안면,34,8,경기도 고양시 일산서구,경기도 화성시 비봉면,경기도 파주시 야당동,경기도 양평군 양동면,경기도 용인시 처인구 포곡읍,서울특별시 종로구 궁정동,N,N,0,17745,0.2,3549,02-3***-7956
김은지,1949-12-02,054-627-4365,76,경기도 파주시 적성면,18,18,경기도 여주시 북내면,경기도 파주시 연다산동,경기도 양주시,경기도 동두천시 상봉암동,경기도 남양주시 와부읍,경기도 포천시 창수면,N,Y,2,726030,0.3,217809,054-***-4365
손예준,1943-02-04,044-313-3351,82,서울특별시 중구 남대문로5가,36,4,경기도 안성시 일죽면,경기도 광주시 초월읍,경기도 김포시 하성면,경기도 안산시 상록구 일동,경기도 여주시 금사면,경기도 이천시 율현동,N,N,0,237,0.2,47,044-***-3351
한성훈,1960-11-18,044-293-2007,65,경기도 양주시 은현면,37,16,경기도 양평군 서종면,경기도 남양주시 진건읍,경기도 남양주시 화도읍,경기도 파주시 조리읍,경기도 고양시 덕양구 삼송동,경기도 여주시 우만동,N,Y,3,512362,0.5,256181,044-***-2007
이미경,1992-11-14,061-102-8833,33,경기도 평택시 팽성읍,34,9,서울특별시 구로구 항동,경기도 이천시 설성면,경기도 광주시 남종면,서울특별시 영등포구 양평동6가,경기도 여주시 세종대왕면,경기도 양주시 광적면,N,N,0,227223,0.3,68167,061-***-8833
김성현,1977-05-05,033-216-4729,48,서울특별시 중구 입정동,29,11,서울특별시 종로구 효제동,경기도 양평군 개군면,경기도 시흥시 무지내동,경기도 연천군 연천읍,경기도 화성시 향남읍,경기도 파주시 적성면,Y,Y,3,150669,0.53,79855,033-***-4729
박지우,2006-02-12,018-874-8025,19,경기도 양주시 장흥면,33,9,경기도 여주시 가남읍,경기도 가평군 상면,경기도 광주시 남한산성면,서울특별시 서대문구 현저동,경기도 군포시 도마교동,경기도 양평군 청운면,Y,N,0,334297,0.53,177177,018-***-8025
김동현,1938-08-30,010-7241-7440,87,경기도 시흥시 장곡동,32,11,경기도 광주시 퇴촌면,경기도 화성시 송산면,경기도 화성시 정남면,경기도 가평군 설악면,경기도 양평군 개군면,경기도 포천시 관인면,N,N,0,5502,0.2,1100,010-****-7440
박보람,1957-11-24,016-884-4269,68,경기도 평택시 월곡동,25,11,서울특별시 성북구 정릉동,경기도 수원시 권선구 서둔동,경기도 이천시 설성면,경기도 안성시 서운면,경기도 시흥시,경기도 동두천시 상패동,N,N,0,27970,0.2,5594,016-***-4269
김병철,1974-05-06,032-089-4927,51,경기도 가평군 설악면,29,8,서울특별시 중구 남학동,경기도 여주시 강천면,경기도 남양주시 화도읍,경기도 화성시 송산면,경기도 여주시 흥천면,서울특별시 중구 회현동2가,N,N,0,173550,0.2,34710,032-***-4927
김정식,1966-06-08,041-342-3054,59,서울특별시 중구 회현동2가,33,6,경기도 남양주시 조안면,경기도 파주시 적성면,경기도 파주시 적성면,경기도 고양시 일산동구 중산동,경기도 연천군 왕징면,경기도 동두천시 광암동,N,N,0,144229,0.2,28846,041-***-3054
최승현,1954-09-08,042-276-3909,71,경기도 파주시 파평면,31,10,경기도 용인시 기흥구 상갈동,경기도 화성시 양감면,경기도 화성시 기안동,경기도 양평군 청운면,경기도 포천시 내촌면,경기도 화성시 양감면,N,Y,3,151269,0.5,75634,042-***-3909
김승현,1987-10-14,054-986-4067,38,경기도 포천시 소흘읍,28,11,서울특별시 서대문구,경기도 안성시 원곡면,경기도 화성시 매송면,경기도 화성시 봉담읍,경기도 양주시 장흥면,경기도 광주시 퇴촌면,N,Y,3,364543,0.5,182272,054-***-4067
오도현,1979-02-06,053-857-6047,46,경기도 이천시 부발읍,24,12,경기도 양평군 개군면,경기도 포천시 내촌면,서울특별시 용산구 이태원동,경기도 화성시 우정읍,경기도 이천시 백사면,경기도 양평군 양서면,N,Y,2,208082,0.3,62425,053-***-6047
박아름,1987-04-27,043-167-9595,38,경기도 안산시 상록구 장상동,29,12,서울특별시 관악구,경기도 파주시 장단면,경기도 동두천시 탑동동,경기도 연천군 군남면,서울특별시 은평구 갈현동,경기도 안성시 양성면,N,N,0,82831,0.2,16566,043-***-9595
이은경,1983-11-08,061-197-0615,42,경기도 성남시 수정구 복정동,29,6,경기도 안산시 단원구 화정동,서울특별시 용산구 주성동,경기도 남양주시 화도읍,경기도 포천시 창수면,서울특별시 강남구 세곡동,경기도 화성시 팔탄면,N,N,0,177356,0.2,35471,061-***-0615
이현정,1943-08-01,055-982-0752,82,경기도 용인시 처인구 포곡읍,23,7,경기도 광주시 남한산성면,경기도 포천시 관인면,경기도 고양시 일산동구 문봉동,경기도 성남시 분당구 하산운동,경기도 연천군 백학면,경기도 양평군 서종면,N,Y,3,226151,0.5,113076,055-***-0752
송순옥,1951-11-11,016-963-1348,74,경기도 오산시 수청동,37,9,서울특별시 용산구 남영동,경기도 구리시 교문동,경기도 구리시 토평동,경기도 화성시 매송면,경기도 파주시 적성면,경기도 연천군 왕징면,N,N,0,40712,0.2,8142,016-***-1348
박미숙,1984-05-10,054-519-6058,41,경기도 성남시 분당구 금곡동,23,14,서울특별시 성동구 사근동,경기도 안성시 양성면,서울특별시 용산구 이촌동,경기도 가평군 상면,경기도 남양주시 조안면,경기도 양평군 지평면,N,N,0,5086,0.2,1017,054-***-6058
이준혁,1995-07-19,052-071-1787,30,경기도 평택시 진위면,33,5,경기도 이천시 갈산동,경기도 화성시 향남읍,서울특별시 중구 충무로1가,경기도 남양주시 일패동,경기도 여주시 세종대왕면,서울특별시 중구 저동1가,N,N,0,132906,0.3,39872,052-***-1787
남종수,1938-05-26,033-003-4781,87,경기도 파주시 조리읍,24,8,경기도 여주시 가업동,서울특별시 서대문구,경기도 고양시 덕양구 도내동,경기도 남양주시 조안면,경기도 김포시 대곶면,서울특별시 송파구 장지동,N,N,0,213179,0.2,42636,033-***-4781
김정순,1978-07-15,031-076-0032,47,경기도 고양시 덕양구 삼송동,29,11,서울특별시 동대문구 전농동,서울특별시 강동구,경기도 포천시 군내면,서울특별시 서대문구 대현동,경기도 김포시 대곶면,경기도 여주시 세종대왕면,N,Y,3,385056,0.5,192528,031-***-0032
김채원,2007-01-24,063-289-7358,18,경기도 파주시 문산읍,36,8,경기도 광주시 곤지암읍,경기도 하남시 배알미동,경기도 오산시 원동,경기도 양평군 단월면,경기도 가평군 상면,경기도 파주시 파주읍,N,N,0,165464,0.2,33093,063-***-7358
황유진,1934-09-09,043-774-8872,91,경기도 양평군 용문면,50,15,경기도 용인시 처인구 이동읍,경기도 화성시 매송면,서울특별시 성동구 행당동,경기도 양평군 양동면,서울특별시 종로구 견지동,경기도 안산시 단원구 풍도동,N,N,0,167783,0.2,33557,043-***-8872
최미영,1984-12-09,016-128-6282,41,경기도 가평군 조종면,31,6,경기도 고양시 일산동구 산황동,경기도 김포시 풍무동,경기도 용인시 처인구 모현읍,서울특별시 성북구 석관동,경기도 안산시 단원구 선감동,경기도 연천군 신서면,N,N,0,133938,0.2,26788,016-***-6282
강민서,1991-02-11,041-447-5734,34,경기도 용인시 처인구 포곡읍,27,14,경기도 양주시 남방동,경기도 포천시 영중면,경기도 연천군 왕징면,경기도 안성시 미양면,경기도 안성시 양성면,경기도 화성시 서신면,Y,N,0,490358,0.53,259890,041-***-5734
박성호,1945-03-13,054-633-4135,80,경기도 김포시 대곶면,32,7,경기도 이천시 모가면,경기도 파주시 적성면,경기도 파주시 적성면,경기도 여주시 흥천면,경기도 광주시 남한산성면,경기도 부천시 원미구 역곡동,N,Y,3,371878,0.5,185939,054-***-4135
노정자,1956-06-16,017-518-3548,69,경기도 성남시 분당구 야탑동,31,10,경기도 연천군 전곡읍,경기도 양평군 지평면,경기도 화성시 정남면,서울특별시 성북구 보문동5가,경기도 오산시 가장동,경기도 가평군 북면,N,N,0,134571,0.2,26914,017-***-3548
김진우,2004-12-11,031-029-2269,21,서울특별시 중구 주자동,37,7,경기도 파주시 적성면,경기도 화성시,경기도 이천시 장호원읍,경기도 의왕시 오전동,경기도 파주시 광탄면,경기도 연천군 연천읍,Y,N,0,214160,0.53,113505,031-***-2269
이영미,1952-04-03,062-023-7249,73,경기도 여주시 강천면,28,17,서울특별시 동작구 흑석동,경기도 수원시 권선구 대황교동,경기도 광주시 남종면,경기도 화성시 정남면,경기도 양주시,경기도 여주시 대신면,Y,N,0,200390,0.53,106207,062-***-7249
성영순,1979-09-21,033-116-1411,46,서울특별시 종로구 창성동,30,9,경기도 양평군 개군면,경기도 동두천시 송내동,서울특별시 강서구 염창동,경기도 오산시 부산동,경기도 양주시 남면,서울특별시 강서구 염창동,Y,N,0,54016,0.53,28628,033-***-1411
양성호,1958-07-02,055-100-4130,67,서울특별시 중구 초동,42,12,서울특별시 용산구 용산동6가,경기도 파주시 광탄면,경기도 가평군 설악면,경기도 안성시 양성면,경기도 수원시 권선구 구운동,경기도 광주시 퇴촌면,N,N,0,51419,0.2,10284,055-***-4130
이재현,1952-10-30,010-4995-6343,73,경기도 수원시 팔달구 팔달로1가,30,8,경기도 안성시 삼죽면,경기도 수원시 팔달구 팔달로3가,경기도 여주시 북내면,경기도 안산시 상록구,경기도 성남시 수정구 창곡동,경기도 안성시 금광면,N,N,0,1325803,0.2,265161,010-****-6343
이영자,1976-01-20,042-527-6947,49,경기도 포천시 영북면,28,14,경기도 용인시 기흥구 중동,경기도 화성시 봉담읍,경기도 화성시 매송면,경기도 여주시 대신면,경기도 이천시 율면,서울특별시 서대문구 충정로2가,Y,N,0,328076,0.53,173880,042-***-6947
심경숙,1958-07-30,018-913-9121,67,서울특별시 동작구 상도1동,37,11,경기도 평택시 포승읍,경기도 용인시 처인구 포곡읍,경기도 김포시 대곶면,경기도 용인시 처인구,경기도 양평군 양서면,서울특별시 종로구 구기동,N,N,0,260052,0.2,52010,018-***-9121
최성훈,1982-03-14,016-690-1044,43,경기도 연천군 연천읍,38,10,경기도 성남시,경기도 남양주시 진건읍,경기도 화성시 우정읍,서울특별시 송파구 삼전동,경기도 안성시 신흥동,경기도 평택시 팽성읍,N,N,0,490311,0.2,98062,016-***-1044
이영길,1966-01-17,054-430-0699,59,경기도 안성시 고삼면,22,8,경기도 여주시 가남읍,경기도 안성시 금광면,서울특별시 영등포구 당산동3가,경기도 여주시 월송동,경기도 광주시 능평동,경기도 연천군 백학면,N,N,0,247639,0.2,49528,054-***-0699
김재현,1969-03-07,019-569-4128,56,경기도 용인시 기흥구 농서동,40,6,경기도 연천군 중면,경기도 평택시 현덕면,경기도 용인시 기흥구,경기도 광주시 목동,경기도 구리시 갈매동,경기도 여주시 대신면,N,N,0,308542,0.2,61708,019-***-4128
심영일,1964-04-27,033-139-0446,61,경기도 파주시 교하동,36,11,경기도 용인시 처인구 원삼면,경기도 용인시 기흥구 상갈동,서울특별시 영등포구 영등포동5가,경기도 파주시 월롱면,경기도 안성시 고삼면,경기도 안성시 죽산면,N,N,0,64488,0.2,12898,033-***-0446
성상현,1936-01-13,031-134-1524,89,경기도 용인시 처인구 백암면,26,15,경기도 하남시 하사창동,경기도 포천시 소흘읍,경기도 안성시 금석동,서울특별시 중구 인현동2가,서울특별시 성북구 보문동5가,서울특별시 양천구 신월동,N,N,0,134477,0.2,26895,031-***-1524
박서영,1998-03-22,02-1501-8832,27,경기도 남양주시 이패동,31,9,서울특별시 종로구 홍파동,경기도 광주시 퇴촌면,경기도 화성시 중동,경기도 양평군 양동면,경기도 광주시 초월읍,서울특별시 양천구 목동,N,Y,2,105734,0.3,31720,02-1***-8832
이정순,1990-11-03,044-124-4455,35,경기도 안성시 양성면,33,7,경기도 가평군 가평읍,경기도 가평군 상면,경기도 연천군 백학면,경기도 파주시 장단면,경기도 파주시 산남동,경기도 연천군 중면,N,Y,3,74807,0.5,37404,044-***-4455
이민준,1956-10-10,053-907-3194,69,경기도 이천시 모가면,32,10,경기도 김포시 북변동,경기도 양평군 용문면,경기도 의왕시 월암동,서울특별시 동대문구 용두동,경기도 김포시 고촌읍,경기도 안성시 금산동,Y,N,0,256852,0.53,136132,053-***-3194
장지연,1937-10-29,063-991-8729,88,경기도 양평군 양서면,35,9,경기도 성남시 수정구,경기도 화성시 봉담읍,서울특별시 영등포구 영등포동3가,서울특별시 강동구 암사동,경기도 수원시 장안구 이목동,경기도 구리시 수택동,N,N,0,116087,0.2,23217,063-***-8729
김상호,1995-11-04,064-770-7850,30,경기도 이천시 호법면,26,6,경기도 광주시 목동,경기도 의정부시 금오동,경기도 파주시 탄현면,서울특별시 중구 을지로5가,경기도 양평군 청운면,경기도 양주시 남면,N,Y,2,467852,0.3,140356,064-***-7850
오종수,1935-12-10,02-8828-1061,90,경기도 구리시 토평동,30,11,경기도 평택시 현덕면,경기도 안성시 일죽면,경기도 파주시 군내면,경기도 하남시 하사창동,서울특별시 종로구 평동,경기도 여주시 흥천면,N,Y,2,96726,0.3,29018,02-8***-1061
이민석,1956-10-02,031-909-3574,69,경기도 가평군 가평읍,27,10,경기도 여주시 북내면,경기도 화성시 오산동,경기도 안성시 미양면,경기도 평택시 서탄면,서울특별시 강남구 논현동,서울특별시 용산구 서빙고동,N,Y,2,109447,0.3,32834,031-***-3574
박정호,1959-09-19,016-892-7364,66,경기도 남양주시 조안면,22,8,경기도 이천시 율면,경기도 김포시 통진읍,경기도 안성시 대덕면,서울특별시 은평구 응암동,경기도 안성시 미양면,경기도 고양시 일산동구 성석동,N,N,0,419410,0.2,83882,016-***-7364
김종수,1941-03-24,062-468-9588,84,경기도 이천시 장호원읍,40,14,서울특별시 중구 쌍림동,경기도 광주시 남한산성면,경기도 양주시 백석읍,경기도 고양시 덕양구 고양동,경기도 가평군 설악면,경기도 화성시 장안면,N,N,0,5690,0.2,1138,062-***-9588
김현우,1961-11-10,033-317-7128,64,서울특별시 중구 남산동2가,28,14,경기도 안성시 서운면,경기도 평택시 포승읍,경기도 파주시 진동면,경기도 김포시 고촌읍,경기도 의왕시 삼동,경기도 안성시 고삼면,Y,N,0,138135,0.53,73212,033-***-7128
박경수,1941-02-01,010-3005-3877,84,경기도 파주시 광탄면,24,13,경기도 용인시 처인구 이동읍,경기도 화성시 금곡동,경기도 용인시 처인구 백암면,경기도 성남시 분당구 금곡동,서울특별시 중구 을지로2가,경기도 여주시 북내면,N,N,0,54339,0.2,10868,010-****-3877
박숙자,1959-04-04,063-131-0104,66,경기도 여주시 점동면,30,12,경기도 하남시 신장동,경기도 안산시 단원구 목내동,경기도 파주시 상지석동,경기도 양주시 봉양동,경기도 여주시 북내면,경기도 평택시 팽성읍,N,N,0,106385,0.2,21277,063-***-0104
서준영,1956-10-08,011-172-8942,69,경기도 화성시 우정읍,31,10,경기도 안성시 일죽면,경기도 광주시 곤지암읍,서울특별시 종로구 장사동,경기도 김포시 하성면,경기도 성남시 중원구 도촌동,경기도 용인시 기흥구 구갈동,N,N,0,209315,0.2,41863,011-***-8942
윤시우,1958-02-23,042-007-7281,67,경기도 양평군 용문면,30,9,경기도 이천시 장호원읍,경기도 고양시 일산서구 탄현동,경기도 이천시 증일동,서울특별시 용산구 이촌동,서울특별시 강서구 방화동,경기도 평택시 칠원동,N,N,0,183283,0.2,36657,042-***-7281
이도윤,1999-08-03,018-674-9233,26,서울특별시 영등포구 여의도동,33,9,서울특별시 영등포구 문래동3가,경기도 파주시 법원읍,서울특별시 동작구 노량진동,경기도 화성시 양감면,서울특별시 영등포구,경기도 화성시 장안면,Y,N,0,79023,0.53,41882,018-***-9233
구선영,1945-02-23,043-739-1391,80,경기도 파주시 파평면,28,15,경기도 연천군 신서면,경기도 양주시 삼숭동,경기도 여주시 북내면,경기도 포천시 화현면,경기도 파주시 광탄면,경기도 화성시 정남면,N,N,0,72679,0.2,14536,043-***-1391
조지후,1965-05-27,044-885-0355,60,경기도 김포시 대곶면,31,9,경기도 안성시 대덕면,경기도 평택시 팽성읍,경기도 화성시 목동,경기도 평택시 가재동,경기도 이천시 신둔면,경기도 파주시 다율동,N,N,0,86612,0.2,17322,044-***-0355
곽민석,1973-10-08,061-681-5280,52,경기도 하남시 망월동,28,10,서울특별시 서초구 잠원동,경기도 여주시 세종대왕면,경기도 용인시 처인구 원삼면,경기도 김포시 하성면,경기도 양주시 장흥면,경기도 양주시 남면,N,N,0,254967,0.2,50993,061-***-5280
김영호,1954-01-13,010-8326-6672,71,경기도 양주시 광적면,39,7,경기도 파주시 군내면,경기도 가평군 상면,경기도 화성시 팔탄면,경기도 수원시 팔달구 지동,경기도 안성시 보개면,경기도 여주시 북내면,N,N,0,112163,0.2,22433,010-****-6672
이민재,1940-02-03,018-202-0781,85,경기도 여주시 가남읍,35,7,경기도 포천시 일동면,서울특별시 중구 회현동3가,경기도 화성시 장안면,경기도 하남시 초일동,경기도 용인시 기흥구,경기도 연천군 군남면,N,N,0,29877,0.2,5975,018-***-0781
김선영,1953-04-19,063-118-8442,72,서울특별시 동작구 대방동,32,8,경기도 평택시 청북읍,경기도 평택시 군문동,경기도 부천시 소사구 괴안동,경기도 가평군 가평읍,서울특별시 종로구 삼청동,서울특별시 성북구 동소문동5가,N,N,0,474270,0.2,94854,063-***-8442
나예준,1988-10-24,02-7270-6325,37,서울특별시 강서구 과해동,21,9,서울특별시 중구 남학동,경기도 김포시 대곶면,경기도 이천시 마장면,경기도 용인시 처인구 유방동,경기도 이천시 대월면,경기도 과천시 부림동,Y,N,0,79608,0.53,42192,02-7***-6325
최정웅,1989-02-12,043-908-1325,36,경기도 평택시 고덕면,26,7,경기도 광주시 곤지암읍,서울특별시 종로구 사직동,경기도 연천군 군남면,경기도 여주시 점동면,경기도 화성시 향남읍,경기도 화성시 봉담읍,N,N,0,115733,0.2,23147,043-***-1325
김명숙,1967-03-03,055-801-4023,58,경기도 이천시 관고동,25,10,경기도 시흥시 광석동,경기도 안산시 단원구 와동,경기도 연천군 군남면,경기도 안성시 일죽면,경기도 여주시 금사면,서울특별시 중구 태평로2가,Y,N,0,134478,0.53,71273,055-***-4023
김현숙,1960-12-05,033-916-0202,65,경기도 남양주시 진접읍,27,9,경기도 안성시 고삼면,경기도 이천시 마장면,경기도 오산시 양산동,서울특별시 동대문구 이문동,서울특별시 종로구 경운동,서울특별시 동대문구,Y,Y,3,238531,0.53,126421,033-***-0202
이은지,2006-03-01,032-610-0592,19,경기도 고양시 덕양구 도내동,26,12,경기도 안성시 금광면,서울특별시 중구 무학동,경기도 화성시 남양읍,경기도 하남시 배알미동,서울특별시 성북구 동소문동5가,경기도 양주시 산북동,N,N,0,63757,0.3,19127,032-***-0592
강미정,1952-05-17,055-438-9314,73,경기도 광주시 초월읍,40,12,경기도 수원시 장안구 영화동,서울특별시 용산구 산천동,경기도 부천시 오정구 오정동,경기도 파주시 조리읍,경기도 평택시 안중읍,경기도 용인시 처인구 이동읍,Y,Y,3,279540,0.53,148156,055-***-9314
